"@timestamp",message,"tote_id","location_id"
"May 10, 2023 @ 08:48:07.680","Tote 880000475497 arrived at interchange point: Divert_ToteLoop_Recirc2",880000475497,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:07.573","Tote 770000532147 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",770000532147,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 08:48:07.510","Tote 880000491806 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000491806,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:06.403","Tote 880000452587 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000452587,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:05.547","Tote 770000565425 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000565425,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:05.293","Tote ???????????? arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder","????????????","Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:05.291","Tote 880000492026 arrived at discharge point: Divert_ToteLoop_Discharge1",880000492026,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:04.945","Tote 880000468457 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000468457,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:04.885","Tote 770000609754 arrived at interchange point: Divert_ToteLoop_Recirc2",770000609754,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:04.700","Tote ???????????? arrived at interchange point: Divert_ToteLoop_Recirc4","????????????","Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:48:04.271","Tote 770000547381 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000547381,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:04.105","Tote 880000422944 arrived at interchange point: Divert_ToteLoop_Recirc1",880000422944,"Divert_ToteLoop_Recirc1"
"May 10, 2023 @ 08:48:03.612","Tote 770000185554 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",770000185554,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 08:48:03.271","Tote 770000597275 arrived at discharge point: Divert_ToteLoop_Discharge1",770000597275,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:03.215","Tote 770000537409 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000537409,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:02.412","Tote 770000558843 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",770000558843,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 08:48:02.370","Tote 880000479997 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000479997,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:02.359","Tote 770000520595 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",770000520595,"Divert_SPS04_HighwayFeeder"
