"@timestamp",message,"system_name"
"Nov 16, 2022 @ 10:12:28.517","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:11:38.039","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:11:38.039","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:10:39.906","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:10:23.890","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 10:10:09.217","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:10:09.217","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:10:05.643","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:09:46.033","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:09:30.159","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:09:13.849","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:09:13.849","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:08:22.138","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:08:22.137","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:07:23.913","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:07:01.857","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 10:06:41.217","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:06:41.217","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:06:37.609","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:06:21.547","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:06:01.916","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:05:48.221","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:05:48.221","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:04:57.169","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:04:57.169","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:03:54.839","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:03:37.627","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 10:03:22.927","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:03:22.927","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:03:19.338","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:02:45.001","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:02:29.018","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:02:18.307","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:02:18.307","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:01:27.781","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:01:27.780","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:00:27.980","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:00:07.112","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 09:59:46.911","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:59:46.911","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:58:34.701","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 09:58:17.204","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 09:58:06.501","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:58:06.500","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:57:15.513","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:57:15.513","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:55:44.981","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 09:55:28.979","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 09:55:09.034","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:55:09.033","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:54:15.506","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 09:53:50.500","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 09:53:33.954","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:53:33.954","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:52:43.316","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:52:43.316","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:51:45.121","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 09:51:22.630","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 09:51:01.834","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:51:01.833","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:50:57.018","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 09:50:07.170","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 09:49:24.559","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 09:49:06.990","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:49:06.990","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:48:15.834","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:48:15.834","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:47:15.395","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 09:46:58.785","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 09:46:44.105","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:46:44.104","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:46:40.506","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 09:46:22.192","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 09:46:06.220","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 09:45:52.065","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:45:52.064","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:45:00.907","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:45:00.907","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:43:39.048","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 09:43:18.268","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 09:43:03.480","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:43:03.480","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 09:42:59.820","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 09:42:41.216","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 09:42:21.228","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 09:42:10.083","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:42:10.082","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 09:41:19.560","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:41:19.559","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 09:40:21.021","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 09:39:30.707","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 09:39:16.067","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
