"@timestamp",message
"Nov 10, 2022 @ 13:01:19.560","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:01:19.559","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:01:09.077","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:01:09.076","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:00:44.921","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 13:00:16.438","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 12:59:15.402","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 12:59:15.402","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 12:59:05.819","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 12:59:05.819","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 12:58:43.748","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 12:58:43.747","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 12:57:48.868","Divert decision (False) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 12:57:45.102","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:57:45.101","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:55:06.111","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 12:54:46.783","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 12:52:23.519","Divert decision (True) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 12:52:04.681","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:52:04.680","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
